name,url,image_url
Daryl Dixon (TV Universe),https://walkingdead.fandom.com/wiki/Daryl_Dixon_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/7/71/DarylS11Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225040
Daryl Dixon (TV Universe),https://walkingdead.fandom.com/wiki/Daryl_Dixon_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/7/71/DarylS11Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225040
Merle Dixon (TV Series),https://walkingdead.fandom.com/wiki/Merle_Dixon_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2a/MerleS3Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225127
Merle Dixon (TV Series),https://walkingdead.fandom.com/wiki/Merle_Dixon_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2a/MerleS3Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225127
Andrea Harrison (TV Series),https://walkingdead.fandom.com/wiki/Andrea_Harrison_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/60/AndreaS3Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225015
Andrea Harrison (TV Series),https://walkingdead.fandom.com/wiki/Andrea_Harrison_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/60/AndreaS3Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225015
Amy Harrison (TV Series),https://walkingdead.fandom.com/wiki/Amy_Harrison_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/4b/AmyS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225010
Amy Harrison (TV Series),https://walkingdead.fandom.com/wiki/Amy_Harrison_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/4b/AmyS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225010
Morales (TV Series),https://walkingdead.fandom.com/wiki/Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/01/MoralesS8Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233051
Morales (TV Series),https://walkingdead.fandom.com/wiki/Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/01/MoralesS8Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233051
Miranda Morales (TV Series),https://walkingdead.fandom.com/wiki/Miranda_Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/50/MirandaS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233047
Miranda Morales (TV Series),https://walkingdead.fandom.com/wiki/Miranda_Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/50/MirandaS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233047
Louis Morales (TV Series),https://walkingdead.fandom.com/wiki/Louis_Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5a/LouisS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233021
Louis Morales (TV Series),https://walkingdead.fandom.com/wiki/Louis_Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5a/LouisS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233021
Eliza Morales (TV Series),https://walkingdead.fandom.com/wiki/Eliza_Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/4d/ElizaS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232938
Eliza Morales (TV Series),https://walkingdead.fandom.com/wiki/Eliza_Morales_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/4d/ElizaS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232938
Guillermo (TV Series),https://walkingdead.fandom.com/wiki/Guillermo_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/cd/GuillermoS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232945
Guillermo (TV Series),https://walkingdead.fandom.com/wiki/Guillermo_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/cd/GuillermoS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232945
Jorge (TV Series),https://walkingdead.fandom.com/wiki/Jorge_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/bf/JorgeS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233012
Jorge (TV Series),https://walkingdead.fandom.com/wiki/Jorge_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/bf/JorgeS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233012
Mr. Gilbert (TV Series),https://walkingdead.fandom.com/wiki/Mr._Gilbert_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0e/MrGilbertS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233055
Mr. Gilbert (TV Series),https://walkingdead.fandom.com/wiki/Mr._Gilbert_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0e/MrGilbertS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233055
Felipe (TV Series),https://walkingdead.fandom.com/wiki/Felipe_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/38/FelipeS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232942
Felipe (TV Series),https://walkingdead.fandom.com/wiki/Felipe_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/38/FelipeS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019232942
Miguel (TV Series),https://walkingdead.fandom.com/wiki/Miguel_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/fd/MiguelS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233037
Miguel (TV Series),https://walkingdead.fandom.com/wiki/Miguel_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/fd/MiguelS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019233037
